text,transformed_text,predicted_label
"poor value stayed monaco seattle july, nice hotel priced 100- 150 night not, hotel takes beating quotient, experience simply average, nothing exceptional paying 300+ n't ca n't terribly disappointed, wife stayed nicest suites 200/night felt like overpaying, best advice shop, quality-wise league average marriott nice best western,  ",poor valu stay monaco seattl juli nice hotel price 150 night hotel take beat quotient experi simpli averag noth except pay ca terribl disappoint wife stay nicest suit felt like overpay best advic shop leagu averag marriott nice best western,0
"nice value seattle stayed 4 nights late 2007. looked comparable hilton marriott westin area points/miles n't gave monaco shot, pleasantly surprised nice room service quick tasty bed especially comfortable unlike people nothing positive things say service, downside relatively small exercise room treadmill heck east coast time ran person 5 days, definitely stay,  ",nice valu seattl stay 4 night late look compar hilton marriott westin area gave monaco shot pleasantli surpris nice room servic quick tasti bed especi comfort unlik peopl noth posit thing say servic downsid rel small exercis room treadmil heck east coast time ran person 5 day definit stay,1
"nice hotel good location hotel kimpton design whimsical vibe fun, staff young casual problem hotel busy stay friendly helpful, group reserved rooms gave connecting rooms fuss, not busy week.the rooms decent size not huge pretty average city hotel, beds nice bathrooms clean bright pocket doors ideal busy bathroom, room design bright cheery flat panel tv, location little noisy fine 5th floor, location convenient walkable attractions new central library sam art museum benaroya concert hall pike place market, parking steep 29/night, evening wine receptions popular,  ",nice hotel good locat hotel kimpton design whimsic vibe fun staff young casual problem hotel busi stay friendli help group reserv room gave connect room fuss busi room decent size huge pretti averag citi hotel bed nice bathroom clean bright pocket door ideal busi bathroom room design bright cheeri flat panel tv locat littl noisi fine 5th floor locat conveni walkabl attract new central librari sam art museum benaroya concert hall pike place market park steep even wine recept popular,1
"nice hotel not nice staff hotel lovely staff quite rude, bellhop desk clerk going way make things difficult, waited forever check heavy bags no help getting throught double doors room, worst desk clerk checking tap tap tap car waited pick 20 minutes, got home noticed 1,000 dollar hold credit card took 5 phonecalls 2 faxes 1 week resolved, stay warwck 4th lenora rooms ok..but al friendly faces tiring day airport,  ",nice hotel nice staff hotel love staff quit rude bellhop desk clerk go way make thing difficult wait forev check heavi bag help get throught doubl door room worst desk clerk check tap tap tap car wait pick 20 minut got home notic dollar hold credit card took 5 phonecal 2 fax 1 week resolv stay warwck 4th lenora room ok al friendli face tire day airport,0
"great hotel night quick business trip, loved little touches like goldfish leopard print robe, complaint wifi complimentary not internet access business center, great location library service fabulous,  ",great hotel night quick busi trip love littl touch like goldfish leopard print robe complaint wifi complimentari internet access busi center great locat librari servic fabul,1
"horrible customer service hotel stay february 3rd 4th 2007my friend picked hotel monaco appealing website online package included champagne late checkout 3 free valet gift spa weekend, friend checked room hours earlier came later, pulled valet young man just stood, asked valet open said, pull bags didn__?ç_??_ offer help, got garment bag suitcase came car key room number says not valet, car park car street pull, left key working asked valet park car gets, went room fine bottle champagne oil lotion gift spa, dressed went came got bed noticed blood drops pillows sheets pillows, disgusted just unbelievable, called desk sent somebody 20 minutes later, swapped sheets left apologizing, sunday morning called desk speak management sheets aggravated rude, apparently no manager kind supervisor weekend wait monday morning, young man spoke said cover food adding person changed sheets said fresh blood rude tone, checkout 3pm package booked, 12 1:30 staff maids tried walk room opening door apologizing closing, people called saying check 12 remind package, finally packed things went downstairs check, quickly signed paper took, way took closer look room, unfortunately covered food offered charged valet, called desk ask charges lady answered snapped saying aware problem experienced monday like told earlier, life treated like hotel, not sure hotel constantly problems lucky ones stay recommend anybody know,  ",horribl custom servic hotel stay februari 3rd 4th 2007mi friend pick hotel monaco appeal websit onlin packag includ champagn late checkout 3 free valet gift spa weekend friend check room hour earlier came later pull valet young man stood ask valet open said pull bag offer help got garment bag suitcas came car key room number say valet car park car street pull left key work ask valet park car get went room fine bottl champagn oil lotion gift spa dress went came got bed notic blood drop pillow sheet pillow disgust unbeliev call desk sent somebodi 20 minut later swap sheet left apolog sunday morn call desk speak manag sheet aggrav rude appar manag kind supervisor weekend wait monday morn young man spoke said cover food ad person chang sheet said fresh blood rude tone checkout 3pm packag book 12 staff maid tri walk room open door apolog close peopl call say check 12 remind packag final pack thing went downstair check quickli sign paper took way took closer look room unfortun cover food offer charg valet call desk ask charg ladi answer snap say awar problem experienc monday like told earlier life treat like hotel sure hotel constantli problem lucki one stay recommend anybodi know,0
"disappointed say anticipating stay hotel monaco based reviews seen tripadvisor, definitely disppointment, decor room hotel envisioned nice, housekeeping staff impressive extremely polite cheery helpful, desk bellmen standard customer service, lots little things easily overlooked broken make mirror sagging post bathroom jiggly entrance handle room did n't feel secure handle nearly falling door, husband early morning flight mid-week asked cab called, suggested cab ride cost double private car flat-rate n't case, knew cost cab 30 car 38 bell staff insisted like 65 taxi ride, cab driver later explained bell staff kick referrals, preferred guests city and/or hotel hotel staff looking best interests, new years planned dining restaurant hotel new year day, came dressed dinner told desk closed holiday, asked nearby response good luck finding today, good luck, thanks help, feature needed hotel business centre work, downstairs service completely semi-funcitional, internet service out-sourced ended spending 50 money n't work no refund 2.5 hours vacation time trouble-shooting internet company toll free service line, asked desk times assistance told, worst experience time asked desk assistance got response included shrug say oh bad, majority staff attitude just simply did not care needed help dared intrude time got snotty response, occasions caught desk girls smirking thought turned n't, talk frustrating, honesty n't wait check, nice decor liked goldfish housekeeping staff great end hotel want dash door n't way not concerned taking greet pretty ignored desk area unless approached, time street westin, saw nothing smiling faces coming going hotel,  ",disappoint say anticip stay hotel monaco base review seen tripadvisor definit disppoint decor room hotel envis nice housekeep staff impress extrem polit cheeri help desk bellmen standard custom servic lot littl thing easili overlook broken make mirror sag post bathroom jiggli entranc handl room feel secur handl nearli fall door husband earli morn flight ask cab call suggest cab ride cost doubl privat car case knew cost cab 30 car 38 bell staff insist like 65 taxi ride cab driver later explain bell staff kick referr prefer guest citi hotel hotel staff look best interest new year plan dine restaur hotel new year day came dress dinner told desk close holiday ask nearbi respons good luck find today good luck thank help featur need hotel busi centr work downstair servic complet internet servic end spend 50 money work refund hour vacat time internet compani toll free servic line ask desk time assist told worst experi time ask desk assist got respons includ shrug say oh bad major staff attitud simpli care need help dare intrud time got snotti respons occas caught desk girl smirk thought turn talk frustrat honesti wait check nice decor like goldfish housekeep staff great end hotel want dash door way concern take greet pretti ignor desk area unless approach time street westin saw noth smile face come go hotel,0
"fantastic stay monaco seattle hotel monaco holds high standards kimpton hotel line, having stayed kimpton hotels cities easily say seattle hotel monaco best seen, service attentive prompt, based member kimpton loyalty program upgraded 10th floor room great view 4th street excellent public library kitty-corner hotel, highly recommend tour public library blown away, room quite spacious beautiful flat-screen television dvd/cd player, exercise room pretty standard kimpton size means adequate not outstanding eliptical cardio machines stationary bikes personal viewing screens, cardio machine screens accept dvd not seen, kimpton hotels hotel monaco line particular hotel lobby stylish quirky inviting, easy imagine spending time relaxing comfortable over-stuffed chairs, restaurant attached hotel sazerac good, far eaten lunch look forward breakfast tomorrow, kimpton properties able connect free highspeed internet ethernet seconds cruising web checking email office no problems, opinion ca n't wrong kimpton hotel seattle hotel monaco certainly excellent choice,  ",fantast stay monaco seattl hotel monaco hold high standard kimpton hotel line stay kimpton hotel citi easili say seattl hotel monaco best seen servic attent prompt base member kimpton loyalti program upgrad 10th floor room great view 4th street excel public librari hotel highli recommend tour public librari blown away room quit spaciou beauti televis player exercis room pretti standard kimpton size mean adequ outstand elipt cardio machin stationari bike person view screen cardio machin screen accept dvd seen kimpton hotel hotel monaco line particular hotel lobbi stylish quirki invit easi imagin spend time relax comfort chair restaur attach hotel sazerac good far eaten lunch look forward breakfast tomorrow kimpton properti abl connect free highspe internet ethernet second cruis web check email offic problem opinion ca wrong kimpton hotel seattl hotel monaco certainli excel choic,0
"good choice hotel recommended sister, great location room nice, comfortable bed- quiet- staff helpful recommendations restaurants, pike market 4 block walk, stay,  ",good choic hotel recommend sister great locat room nice comfort staff help recommend restaur pike market 4 block walk stay,0
"hmmmmm say really high hopes hotel monaco chose base girlfriend shopping trip seattle, stay say given competition seattle just okay, hotel lot nice features little things detract bedding super soft luxurious comforters pillows, mattress rock hard standard hotel bed kept awake nights, furnishings nice colors patterns fun chair rip wall paper peeling, stayed room 815 noise like fog horn vibrated walls stay, guess water pipes really annoying.on waking morning packages decaf instead regular coffee, took 30 minutes send coffee showed just package, coffee town usa little package 3 tiny dried creamers, supposed coffee service lobby saw, cleared really early, gone 10am, wine reception 5-6 boy better time walk 5:50 like did look manager like trying scope 2nd glass, food plate goldfish crackers, classy.friday night restaurant bar closed 4pm private party, planned eat heard fun bar, bummer add rest.all hotel posters say things like hotel comfort, felt catered comfortable, no staff asked doing said hello, looking visit,  ",hmmmmm say realli high hope hotel monaco chose base girlfriend shop trip seattl stay say given competit seattl okay hotel lot nice featur littl thing detract bed super soft luxuri comfort pillow mattress rock hard standard hotel bed kept awak night furnish nice color pattern fun chair rip wall paper peel stay room 815 nois like fog horn vibrat wall stay guess water pipe realli wake morn packag decaf instead regular coffe took 30 minut send coffe show packag coffe town usa littl packag 3 tini dri creamer suppos coffe servic lobbi saw clear realli earli gone 10am wine recept boy better time walk like look manag like tri scope 2nd glass food plate goldfish cracker night restaur bar close 4pm privat parti plan eat heard fun bar bummer add hotel poster say thing like hotel comfort felt cater comfort staff ask said hello look visit,0
"service service service spent week g-friend labor day bumbershoot, gray line airporter drops corner hotel 10 person cab 28 total make sure flat rate town car 38. location central downtown street w. it__?ç_??_ quick walk points tourist business, yes space needle bit far monorail westlake center easy walk away, tourist underground tour public market space needle emp, leave bit room luggage shopping great, neighborhood safe clean, room mediterranean suite quite large equipped two-person jacuzzi tub small stand glass-enclosed shower, room no view did not care, room clean small throw blanket adorned foot bed took, tastefully decorated walls striped, trust wont feel like stale hotel, ask gold fish bring well-behaved dog company.service aspects excellent, desk house keeping concierge room service bell desk ready provide warm professional service, test don__?ç_??_ flinch.gym open 24 hours newer cardio machines dumbbells, highest weight 25. water towels tv, gold__?ç_??_ walking distance.gastronomy sazerac worth try not impressive it__?ç_??_ amusing.this visit seattle monaco, like beds westin better prefer monaco afford w. g-friends visit wants bumbershoot year stay hotel monaco,  ",servic servic servic spent week labor day bumbershoot gray line airport drop corner hotel 10 person cab 28 total make sure flat rate town car locat central downtown street quick walk point tourist busi ye space needl bit far monorail westlak center easi walk away tourist underground tour public market space needl emp leav bit room luggag shop great neighborhood safe clean room mediterranean suit quit larg equip jacuzzi tub small stand shower room view care room clean small throw blanket adorn foot bed took tast decor wall stripe trust wont feel like stale hotel ask gold fish bring dog aspect excel desk hous keep concierg room servic bell desk readi provid warm profession servic test open 24 hour newer cardio machin dumbbel highest weight water towel tv walk sazerac worth tri impress visit seattl monaco like bed westin better prefer monaco afford visit want bumbershoot year stay hotel monaco,0
"excellent stay, delightful surprise stay monaco, thoroughly enjoyed stay, room comfortable lovely amenities friendly staff, especially enjoyed hour indulgence, definitely come,  ",excel stay delight surpris stay monaco thoroughli enjoy stay room comfort love amen friendli staff especi enjoy hour indulg definit come,1
"good value downtown hotel monaco seattle great option pricey area town, rooms w street going close 400 night, hotel monaco unique interesting cozy, bed/linens quality aveda products bathroom nice touch.you close downtown quick cab ride away nightlife restaurants loved lola, experience quirky luxurious fun.i definitely stay,  ",good valu downtown hotel monaco seattl great option pricey area town room w street go close 400 night hotel monaco uniqu interest cozi qualiti aveda product bathroom nice close downtown quick cab ride away nightlif restaur love lola experi quirki luxuri definit stay,0
"hotel monaco great location service hotel monaco centrally located provides excellent service, recently stayed 4/23-5/1, originally checked slight problem informed booked queen beds expedia room king bed, fortunately fellow guest checking time swapped rooms, future reference booking expedia recommend double checking hotel ensure receive correct room, staff stated better book hotel directly match online rates, additionally concierge marco helpful, sat night called salty make reservations brunch day informed no seats available, following day concierge called restaurant hours wanted dine able book table 5 great window view, hotel blocks away pike place market seattle art museum shopping district walking distance space needle experience music project attractions, ammenities services provided hotel include pet goldfish wine tasting yoga mat use room, seattle recommend taking helicopter tour mt, st. helens hoffstadt visitor center,  ",hotel monaco great locat servic hotel monaco central locat provid excel servic recent stay origin check slight problem inform book queen bed expedia room king bed fortun fellow guest check time swap room futur refer book expedia recommend doubl check hotel ensur receiv correct room staff state better book hotel directli match onlin rate addit concierg marco help sat night call salti make reserv brunch day inform seat avail follow day concierg call restaur hour want dine abl book tabl 5 great window view hotel block away pike place market seattl art museum shop district walk distanc space needl experi music project attract ammen servic provid hotel includ pet goldfish wine tast yoga mat use room seattl recommend take helicopt tour mt helen hoffstadt visitor center,0
"great location need internally upgrade advantage north end downtown seattle great restaurants nearby good prices, rooms need updated literally thought sleeping 1970 bed old pillows sheets, net result bad nights sleep, stay location, staff friendly,  ",great locat need intern upgrad advantag north end downtown seattl great restaur nearbi good price room need updat liter thought sleep 1970 bed old pillow sheet net result bad night sleep stay locat staff friendli,0
"n't mind noise place great, read reviews noise used hotel website book room, interesting site gives checkbox options 1 room farthest elevator 2 room higher floor 3 quiet room, getting quietest room possible checked hoping, got 6th floor 18-19 floors hall elevator listened trucks ambulance sirens night, sheeeesh, aside heating units sound like small plane engines hear surrounding rooms.if noise sleeps facilities clean conveniently located reasonably priced staff quite helpful,  ",mind nois place great read review nois use hotel websit book room interest site give checkbox option 1 room farthest elev 2 room higher floor 3 quiet room get quietest room possibl check hope got 6th floor floor hall elev listen truck ambul siren night sheeeesh asid heat unit sound like small plane engin hear surround nois sleep facil clean conveni locat reason price staff quit help,0
"loved, stayed warwick overnight getway enjoy christmas shopping, warwick exceeded expectations, staff wonderful extrememly friendly room clean service lounge wonderful, came contact hotel friendly, women bathroom lever lounge well.. think haunted totally creepy vibe lights anywho, really enjoyed stay going couple days,  ",love stay warwick overnight getway enjoy christma shop warwick exceed expect staff wonder extrememli friendli room clean servic loung wonder came contact hotel friendli women bathroom lever loung well think haunt total creepi vibe light anywho realli enjoy stay go coupl day,0
"met expectations centrally located hotel blocks water popular nightlife shopping options belltown downtown, classify property star location, paid wedding rate not sure fares value proposition, room spacious little outdated, rooms decent views lower floor drab panaroma parking lot buildings, adequate fitness center sauna pool basement quaint bar/restaurant attached hotel, parking 30 day outrage possibly standard downtown street parking weekend save dollars, willing stay future price significantly lower nearby four-star competition,  ",met expect central locat hotel block water popular nightlif shop option belltown downtown classifi properti star locat paid wed rate sure fare valu proposit room spaciou littl outdat room decent view lower floor drab panaroma park lot build adequ fit center sauna pool basement quaint attach hotel park 30 day outrag possibl standard downtown street park weekend save dollar will stay futur price significantli lower nearbi competit,0
"nice hotel husband stayed warwick 4 years ago liked hotel location did not hesitate book trip.we asked received non-smoking room king bed high floor, hoping hotel nice view space needle, check-in nice friendly, keys minutes nice room small loveseat juliet balcony.love location hotel just block away best restaurants downtown dahlia lounge palace kitchen lola small grocery store/mini-mart right street wine, easy walk pike place market.on site hotel nice restaurant lounge area, ate breakfast hotel drinks lounge/bar times, good service.we did n't chance use did look pool exercise room located basement, pool small definitely useable, exercise room variety machines weights not newest market definitely decent machines, kept neat clean exercise room plenty towels water cooler available.i think ran maid days leaving friendly.we used business center couple times consisted 2 computers free internet printer, just needed ask key desk, nice handy.overall thought staff helpful hotel quiet good location definitely met expectations did stayed years ago, definitely return hope soon,  ",nice hotel husband stay warwick 4 year ago like hotel locat hesit book ask receiv room king bed high floor hope hotel nice view space needl nice friendli key minut nice room small loveseat juliet locat hotel block away best restaur downtown dahlia loung palac kitchen lola small groceri right street wine easi walk pike place site hotel nice restaur loung area ate breakfast hotel drink time good chanc use look pool exercis room locat basement pool small definit useabl exercis room varieti machin weight newest market definit decent machin kept neat clean exercis room plenti towel water cooler think ran maid day leav use busi center coupl time consist 2 comput free internet printer need ask key desk nice thought staff help hotel quiet good locat definit met expect stay year ago definit return hope soon,0
"good hotel not large hotel newly decorated, rooms good size clean, excellent location 2 blocks centre town 4 blocks market area.hotel resturant bustling place alot diners coming street, good meal there.overall highly recommend staying,  ",good hotel larg hotel newli decor room good size clean excel locat 2 block centr town 4 block market restur bustl place alot diner come street good meal highli recommend stay,1
"good choice seattle stayed night business booked company, overall satisfactory arrived late evening room 17th floor clean comfortable great view, bathroom little small clean equipped, good night sleep enjoyed excellent breakfast restaurant checking, staff encountered friendly polite,  ",good choic seattl stay night busi book compani overal satisfactori arriv late even room 17th floor clean comfort great view bathroom littl small clean equip good night sleep enjoy excel breakfast restaur check staff encount friendli polit,0
"great location expensive parking warwick heart seattle easy walking distance pikes place monorail terminal downtown shops, stayed twice recently start finish tour pacific north west, staff helpful knowledgable rooms large comfy armchair large bedded room, rooms fridge coffee maker.parking site expensive guess reflects city centre parking prices, free zone travel seattle buses cheap free travel central seattle handy grocery store opposite,  ",great locat expens park warwick heart seattl easi walk distanc pike place monorail termin downtown shop stay twice recent start finish tour pacif north west staff help knowledg room larg comfi armchair larg bed room room fridg coffe site expens guess reflect citi centr park price free zone travel seattl buse cheap free travel central seattl handi groceri store opposit,0
